name,birthday,dateJoinClub,countSeason,matchNumber,winMatchNumber,lossMatchNumber,country,team
Mikel Arteta,26/03/1982,22-Dec-19,3,92,47,29,Spain,Arsenal
Steven Gerrard,30/05/1980,11-Nov-21,1,22,9,10,England,Aston Villa
Thomas Frank,9/10/1973,16-Oct-18,1,35,11,17,Denmark,Brentford
Graham Potter,20/05/1975,20-May-19,3,111,28,41,England,Brighton and Hove Albion
Michael Jackson,4/12/1973,15-Apr-22,1,4,3,0,England,Burnley
Sean Dyche,28/06/1971,,7,258,72,118,England,
Thomas Tuchel,29/08/1973,26-Jan-21,2,53,30,9,Germany,Chelsea
Patrick Vieira,23/06/1976,4-Jul-21,1,34,9,11,France,Crystal Palace
Frank Lampard,20/06/1978,31-Jan-22,3,70,32,26,England,Everton
Duncan Ferguson,27/12/1971,,2,4,1,1,Scotland,
Rafael Benítez,16/04/1960,,11,359,173,100,Spain,
Jesse Marsch,8/11/1973,28-Feb-22,1,8,3,3,United States,Leeds United
Marcelo Bielsa,21/07/1955,,2,64,23,28,Argentina,
Brendan Rodgers,26/01/1973,27-Feb-19,9,279,129,84,Northern Ireland,Leicester City
Jürgen Klopp,16/06/1967,8-Oct-15,7,254,163,34,Germany,Liverpool
Josep Guardiola,18/01/1971,1-Jul-16,6,224,166,30,Spain,Manchester City
Ralf Rangnick,29/06/1958,3-Dec-21,1,22,10,5,Germany,Manchester United
Michael Carrick,28/07/1981,,1,2,1,0,England,
Ole Gunnar Solskjær,26/02/1973,,5,127,59,36,Norway,
Eddie Howe,29/11/1977,8-Nov-21,6,214,67,99,England,Newcastle United
Graeme Jones,13/03/1970,,1,4,0,1,England,
Steve Bruce,31/12/1960,,14,476,133,211,England,
Dean Smith,19/03/1971,15-Nov-21,3,110,32,58,England,Norwich City
Daniel Farke,30/10/1976,,2,49,6,35,Germany,
Ralph Hasenhüttl,9/8/1967,6-Dec-18,4,134,44,57,Austria,Southampton
Antonio Conte,31/07/1969,2-Nov-21,3,100,65,21,Italy,Tottenham Hotspur
Nuno Espírito Santo,25/01/1974,,4,124,48,44,Portugal,
Roy Hodgson,9/8/1947,25-Jan-22,12,378,125,161,England,Watford
Claudio Ranieri,20/10/1951,,8,238,109,70,Italy,
Francisco Javier Muñoz Llompart,5/9/1980,,1,7,2,4,Spain,
David Moyes,25/04/1963,29-Dec-19,18,618,243,211,Scotland,West Ham United
Bruno Lage,12/5/1976,9-Jun-21,1,34,15,15,Portugal,Wolverhampton Wanderers
